Player,Season,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
Archer,2012,23,TBR,AL,-0.1,1,3,.250,4.60,6,4,1,0,0,0,29.1,23,17,15,3,13,0,36,1,0,2,122,85,3.40,1.227,7.1,0.9,4.0,11.0,2.77,
Archer,2013,24,TBR,AL,2.0,9,7,.563,3.22,23,23,0,2,2,0,128.2,107,49,46,15,38,2,101,8,0,7,525,120,4.07,1.127,7.5,1.0,2.7,7.1,2.66,ROY-3
Archer,2014,25,TBR,AL,2.6,10,9,.526,3.33,32,32,0,0,0,0,194.2,177,85,72,12,72,1,173,8,0,8,822,112,3.39,1.279,8.2,0.6,3.3,8.0,2.40,
Archer,2015,26,TBR,AL,3.9,12,13,.480,3.23,34,34,0,1,1,0,212.0,175,85,76,19,66,0,252,3,0,13,868,121,2.90,1.137,7.4,0.8,2.8,10.7,3.82,ASCYA-5
Archer,2016,27,TBR,AL,2.0,9,19,.321,4.02,33,33,0,0,0,0,201.1,183,100,90,30,67,0,233,3,0,11,850,100,3.81,1.242,8.2,1.3,3.0,10.4,3.48,
Archer,2017,28,TBR,AL,1.7,10,12,.455,4.07,34,34,0,0,0,0,201.0,193,101,91,27,60,0,249,5,0,15,852,103,3.40,1.259,8.6,1.2,2.7,11.1,4.15,AS
Archer,2018,29,2TM,2LG,0.8,6,8,.429,4.31,27,27,0,0,0,0,148.1,155,77,71,19,49,3,162,6,0,6,638,94,3.75,1.375,9.4,1.2,3.0,9.8,3.31,
Archer,2019,30,PIT,NL,0.7,3,9,.250,5.19,23,23,0,0,0,0,119.2,114,73,69,25,55,2,143,4,0,6,526,83,5.02,1.412,8.6,1.9,4.1,10.8,2.60,
Archer,2021,32,TBR,AL,-0.1,1,1,.500,4.66,6,5,0,0,0,0,19.1,18,11,10,3,8,0,21,0,0,1,83,88,4.26,1.345,8.4,1.4,3.7,9.8,2.63,
Archer,2022,33,MIN,AL,0.1,2,8,.200,4.56,25,25,0,0,0,0,102.2,87,56,52,12,48,0,84,3,0,3,437,86,4.49,1.315,7.6,1.1,4.2,7.4,1.75,

Glasnow,2016,22,PIT,NL,0.1,0,2,.000,4.24,7,4,0,0,0,0,23.1,22,13,11,2,13,0,24,3,1,2,105,99,4.26,1.500,8.5,0.8,5.0,9.3,1.85,
Glasnow,2017,23,PIT,NL,-1.9,2,7,.222,7.69,15,13,0,0,0,0,62.0,81,61,53,13,44,2,56,2,0,3,305,56,6.30,2.016,11.8,1.9,6.4,8.1,1.27,
Glasnow,2018,24,2TM,2LG,0.7,2,7,.222,4.27,45,11,9,0,0,0,111.2,89,55,53,15,53,3,136,4,2,12,468,94,4.00,1.272,7.2,1.2,4.3,11.0,2.57,
Glasnow,2019,25,TBR,AL,2.5,6,1,.857,1.78,12,12,0,0,0,0,60.2,40,13,12,4,14,0,76,0,0,2,230,248,2.26,0.890,5.9,0.6,2.1,11.3,5.43,
Glasnow,2020,26,TBR,AL,0.8,5,1,.833,4.08,11,11,0,0,0,0,57.1,43,26,26,11,22,0,91,0,0,7,238,100,3.66,1.134,6.8,1.7,3.5,14.3,4.14,
Glasnow,2021,27,TBR,AL,2.4,5,2,.714,2.66,14,14,0,0,0,0,88.0,55,26,26,10,27,0,123,0,0,8,340,152,2.77,0.932,5.6,1.0,2.8,12.6,4.56,
Glasnow,2022,28,TBR,AL,0.4,0,0,,1.35,2,2,0,0,0,0,6.2,4,1,1,1,2,0,10,0,0,1,26,287,2.96,0.900,5.4,1.4,2.7,13.5,5.00,
Glasnow,2023,29,TBR,AL,2.1,10,7,.588,3.53,21,21,0,0,0,0,120.0,93,52,47,13,37,0,162,1,0,11,485,119,2.91,1.083,7.0,1.0,2.8,12.2,4.38,
