year,team,roster,league,division,team payroll,w,l,rank,lg rk,mlb rk,last year payroll,top salary

2025,25' Los Angeles Dodgers,team roster,NL,West,331.013580,93,69,1,3,5,"225,204,220",Tyler Glasnow (11)
2025,25' Toronto Blue Jays,team roster,AL,East,243.329047,94,68,1,1,3,"227,175,884",Vladimir Guerrero (16)

2024,24' New York Yankees,team roster,AL,East,305.444574,94,68,1,1,3,"268,954,047",Aaron Judge (3)
2024,24' Los Angeles Dodgers,team roster,NL,West,225.204220,98,61,1,1,1,"217,612,634",Shohei Ohtani (18)

2023,23' Texas Rangers,team roster,AL,West,183.578160,90,72,2,3,6,"134,961,333",Corey Seager (7)
2023,23' Arizona Diamondbacks,team roster,NL,West,103.763571,84,78,2,6,12,"77,393,333",Madison Bumgarner (32)

2022,22' Philadelphia Phillies,team roster,NL,East,221.738462,87,75,3,6,11,"174,808,832",Zack Wheeler (18)
2022,22' Houston Astros,team roster,AL,West,171.639599,106,56,1,1,2,"176,495,417",Jose Altuve (18)

2021,21' Atlanta Braves,team roster,NL,East,132.458375,88,73,1,5,12,"149,466,875",Freddie Freeman (29)
2021,21' Houston Astros,team roster,AL,West,176.495417,95,67,1,2,4,"212,321,933",Zack Greinke (13)

2020,20' Los Angeles Dodgers,team roster,NL,West,189.065000,43,17,1,1,1,"196,729,548",Mookie Betts (14)
2020,20' Tampa Bay Rays,team roster,AL,East,65.812166,40,20,1,1,2,"60,444,931",Charlie Morton (77)

2019,19' Washington Nationals,team roster,NL,East,161.877935,93,69,2,3,9,"181,586,759",Max Scherzer (1)
2019,19' Houston Astros,team roster,AL,West,171.639599,107,55,1,1,2,"176,495,417",Jose Altuve (18)

2018,18' Boston Red Sox,team roster,AL,East,235.649368,108,54,1,1,1,"174,287,098",David Price (4)
2018,18' Los Angeles Dodgers,team roster,NL,West,186.138211,92,71,1,3,7,"187,989,811",Clayton Kershaw (2)

2017,17' Los Angeles Dodgers,team roster,NL,West,187.989811,104,58,1,1,1,"253,639,162",Clayton Kershaw (1)
2017,17' Houston Astros,team roster,AL,West,127.443900,101,61,1,2,3,"96,643,000",Brian McCann (47)

2016,16' Chicago Cubs,team roster,NL,Central,167.444167,103,58,1,1,1,"117,164,522",Jon Lester (24)
2016,16' Cleveland Indians,team roster,AL,Central,98.006899,94,67,1,2,4,"87,746,766",Carlos Santana (144)

2015,15' Kansas City Royals,team roster,AL,Central,112.914525,95,67,1,1,4,"92,034,345",Alex Gordon (64)
2015,15' New York Mets,team roster,NL,East,100.133953,90,72,1,5,7,"89,051,758",David Wright (30)
