"last_name, first_name","player_id","display_team_name","year","primary_pos_formatted","fielding_runs_prevented","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted"
"Abreu, José","547989","White Sox","2020","1B","3",4,0,3,1,1,-1,5,"82%","78%","4%"
"Acuña Jr., Ronald","660670","Braves","2020","CF","1",1,-2,0,2,0,0,0,"92%","92%","0%"
"Adames, Willy","642715","Rays","2020","SS","-1",-1,-1,1,-1,0,-1,0,"71%","72%","-1%"
"Adell, Jo","666176","Angels","2020","RF","-4",-4,-1,-2,0,-1,-1,-3,"83%","88%","-5%"
"Adrianza, Ehire","501303","Twins","2020","3B","3",3,3,-1,2,0,1,2,"69%","66%","3%"
"Aguilar, Jesús","542583","Marlins","2020","1B","-4",-5,-1,-4,0,-1,-2,-3,"54%","60%","-6%"
"Ahmed, Nick","605113","D-backs","2020","SS","6",7,2,3,2,1,7,0,"76%","72%","4%"
"Akiyama, Shogo","673451","Reds","2020","LF","1",1,0,2,-1,0,1,0,"92%","91%","1%"
"Alberto, Hanser","593643","Orioles","2020","2B","-2",-3,1,-3,0,-2,-5,2,"77%","79%","-2%"
"Albies, Ozzie","645277","Braves","2020","2B","2",3,0,1,3,0,1,2,"81%","78%","3%"
"Altuve, Jose","514888","Astros","2020","2B","-5",-7,-1,1,-4,-2,0,-7,"74%","77%","-3%"
"Anderson, Brian","605119","Marlins","2020","3B","4",5,3,0,1,1,2,3,"74%","72%","2%"
"Anderson, Tim","641313","White Sox","2020","SS","2",3,4,0,0,-1,0,2,"76%","74%","2%"
"Andrus, Elvis","462101","Rangers","2020","SS","-1",-2,2,1,-4,0,-3,1,"75%","77%","-2%"
"Araúz, Jonathan","660620","Red Sox","2020","2B","-3",-4,-1,-3,0,0,-1,-3,"67%","72%","-5%"
"Arcia, Orlando","606115","Brewers","2020","SS","1",1,1,0,1,-1,1,0,"71%","70%","1%"
"Arenado, Nolan","571448","Rockies","2020","3B","5",6,1,0,3,1,6,0,"76%","73%","3%"
"Arraez, Luis","650333","Twins","2020","2B","-2",-3,-2,-2,0,1,0,-3,"77%","79%","-2%"
