"pitcher","pitcher_name","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
425794,"Wainwright, Adam","R",727,138,"43.9",-1.612477846263826,6.238156808803301,-0.002642420165702889,4.686039078052817
425844,"Greinke, Zack","R",800,117,"47.6",-1.3097693365412169,6.2994625,0.13777542441550483,4.7153606540719695
434671,"Sánchez, Aníbal","R",700,120,"47.6",-1.4106809891587142,5.851485714285714,0.12280167792844411,4.172919092804395
448179,"Hill, Rich","L",616,142,"39.5",2.0902226197364007,5.869545454545454,0.31903210777983715,4.40443486765574
450203,"Morton, Charlie","R",565,139,"25.1",-2.28408627876252,5.597380530973451,-0.1558159542457369,4.601564358584544
452657,"Lester, Jon","L",1002,112,"36.7",2.059205962354092,5.706167664670659,0.1897512357848919,4.314504375163126
453286,"Scherzer, Max","R",898,120,"25.4",-2.4540340873452813,5.467193763919822,-0.40411496073029335,4.493854056869508
453562,"Arrieta, Jake","R",449,143,"34.7",-2.116639320916543,6.120734966592428,-0.23800139730623976,4.819812185874248
456501,"Cueto, Johnny","R",942,137,"32.7",-2.1880544489318754,5.484777070063695,-0.20353221492358284,4.213390599835669
457918,"Happ, J.A.","L",578,147,"42.1",1.6721255774656738,6.182335640138408,-0.07601928911545744,4.601260517705037
458676,"Lindblom, Josh","R",625,158,"36.7",-1.8667158843810698,5.953392,-0.06534799885918004,4.608660625695188
458681,"Lynn, Lance","R",962,140,"33.2",-2.4101687440171067,5.674656964656965,-0.39274045793816015,4.3532648245572325
458708,"Tomlin, Josh","R",371,144,"43.8",-1.5458236852658782,5.9332614555256065,0.0713507489616773,4.379936194108861
461829,"Gonzalez, Gio","L",499,145,"37.0",1.8581424281745247,5.576633266533066,0.12378074739815767,4.267623739212573
471911,"Carrasco, Carlos","R",878,114,"35.7",-1.9381729693509162,5.720580865603645,-0.0724029456177532,4.38141696827618
474463,"Anderson, Brett","L",598,158,"45.0",1.691137681097077,6.315936454849498,0.0868711659184805,4.712002845492104
477132,"Kershaw, Clayton","L",615,119,"61.4",0.9020215146510097,6.261967479674797,-0.19502119961399195,4.252362359071603
501381,"Pineda, Michael","R",361,142,"36.6",-2.4540927894864177,6.434542936288088,-0.4058722588799433,4.914108517156863
501985,"Minor, Mike","L",791,9999,"36.1",1.5582143128335413,5.873716814159292,-0.3306085395513797,4.494747417489522
502043,"Gibson, Kyle","R",850,140,"46.8",-1.5573399905247034,6.485105882352941,0.07958338940910589,4.739449493058052
502171,"Cobb, Alex","R",403,110,"48.5",-1.6294797954453912,6.196600496277916,-0.1504810101986881,4.52383642252237
502239,"Cahill, Trevor","R",362,137,"39.0",-1.962521139379194,6.284005524861879,-0.13920707562269005,4.804711146049203
502706,"Holland, Derek","L",572,134,"39.0",1.566361778937419,5.9187412587412584,-0.18777997470889182,4.499557897997724
506433,"Darvish, Yu","R",1038,112,"44.8",-1.594552471194944,5.762832369942196,-0.11176989856702009,4.291744023293544
518516,"Bumgarner, Madison","L",466,109,"27.1",2.2984563820754924,5.708304721030043,0.3814105895167275,4.728577659595832
518553,"Cishek, Steve","R",363,145,"3.0",-2.977293967901149,4.133774104683195,-0.5579504435681736,4.0064437899947105
518633,"Duffy, Danny","L",734,118,"51.4",1.0846118539241503,5.814877384196185,-0.3565969614803439,4.00980248075097
518813,"Holland, Greg","R",372,118,"66.1",-0.3450368763234247,6.081666666666667,0.6055327987998719,3.944969693512791
518876,"Kelly, Merrill","R",468,109,"31.0",-1.929454532899741,5.614166666666667,-0.029289729116199703,4.472262949251185
519144,"Porcello, Rick","R",661,121,"43.8",-1.681445090696357,6.216475037821483,0.04001072480051022,4.562426723742722
527048,"Pérez, Martín","L",852,111,"45.5",1.470976505574693,5.57981220657277,-0.15946340200591547,3.917300876935708
527054,"Teheran, Julio","R",471,108,"25.4",-2.2863715340726922,5.068343949044586,-0.34930341156912487,4.150233028621264
533167,"Shoemaker, Matt","R",388,141,"37.0",-1.7933262877682985,6.132963917525773,0.052845888346259313,4.742241889595869
