#,player,age,pos,ht,wt,ba,th,born,place,hilvl,mlb years,stat years,draft info,salary (millions),infield
1,Willy Adames,24,ss,6-0,215,R,R,1995-09-02,"Santiago,DR",MLB,2018-2026,2013-2026,"2012- UDFA -DET",0.5795,yes
46,Jose Alvarado,25,p,6-2,245,L,L,1995-05-21,"Maracaibo,VZ",MLB,2017-2026,2014-2026,"2012- UDFA -TBA",0.5731
70,Nick Anderson,29,p,6-4,205,R,R,1990-07-05,"Crosby,MN",MLB,2019-2025,2012-2026,"2015- UDFA -MIN",0.5773
56,Randy Arozarena,25,lf,5-10,185,R,R,1995-02-28,"Havana,CU",MLB,2019-2026,2016-2026,"2016- UDFA -SLN",0.5635
53,Anthony Banda,26,p,6-2,221,L,L,1993-08-10,"Corpus Christi,TX",MLB,2017-2026,2012-2026,"2012- 10- 335-MIL",0.5635
68,Jalen Beeks,26,p,5-11,215,L,L,1993-07-10,"Fayetteville,AR",MLB,2018-2026,2013-2026,"2014- 12- 374-BOS",0.5724
43,Mike Brosseau,26,1b-3b,5-10,203,R,R,1994-03-15,"Munster,IN",MLB,2019-2023,2013-2025,"2016- UDFA -TBA",0.5635
63,Diego Castillo,26,p,6-3,268,R,R,1994-01-18,"Cabrera,DR",MLB,2018-2024,2014-2025,"2014- UDFA -TBA",0.5758
72,Yonny Chirinos,26,p,6-2,225,R,R,1993-12-26,"Bachaquero,VZ",MLB,2018-2024,2014-2024,"2012- UDFA -TBA",0.5767
26,Ji Man Choi,29,1b,6-0,260,L,R,1991-05-19,"Incheon,KR",MLB,2016-2023,2010-2024,"2010- UDFA -SEA",0.85,yes
84,John Curtiss,27,p,6-5,220,R,R,1993-04-05,"Dallas,TX",MLB,2017-2025,2012-2026,"2014- 6- 170-MIN",0.5635
2,Yandy Diaz,28,1b-dh,6-1,235,R,R,1991-08-08,"Sagua La Grande,CU",MLB,2017-2026,2014-2026,"2013- UDFA -CLE",0.5766,yes
47,Oliver Drake,33,p,6-4,220,R,R,1987-01-13,"Worcester,MA",MLB,2015-2020,2007-2020,"2008- 43-1286-BAL",1.025
29,Pete Fairbanks,26,p,6-6,235,R,R,1993-12-16,"Milwaukee,WI",MLB,2019-2026,2013-2026,"2015- 9- 258-TEX",0.5647
