Year,Lg,W,L,Finish,RA/G,ERA,G,CG,tSho,SV,IP,H,R,ER▲,HR,BB,SO,WHIP,SO9,HR9,E,DP,Fld%,PAge
2012,AL East,90,72,3,3.56,3.19,162,0.04,0.09,0.31,9.01,7.61,3.56,3.20,0.86,2.90,8.54,1.166,8.53,0.86,0.70,0.96,.981,28.1
2020,AL East,40,20,1,3.82,3.56,60,0.00,0.07,0.38,8.80,7.92,3.82,3.48,1.17,2.80,9.20,1.219,9.42,1.19,0.55,0.87,.985,28.1
2011,AL East,91,71,2,3.79,3.58,162,0.09,0.08,0.20,8.94,7.80,3.79,3.56,0.99,3.11,7.06,1.219,7.10,1.00,0.45,0.85,.988,27.8
2014,AL East,77,85,4,3.86,3.56,162,0.02,0.14,0.23,9.04,7.98,3.86,3.57,0.90,2.98,8.87,1.212,8.84,0.89,0.54,0.59,.985,28.4
2019,AL East,96,66,2,4.05,3.65,162,0.00,0.07,0.28,9.10,7.86,4.05,3.69,1.12,2.80,10.01,1.171,9.90,1.10,0.54,0.78,.985,27.8
2018,AL East,90,72,3,3.99,3.74,162,0.00,0.09,0.32,8.94,7.63,3.99,3.72,1.01,3.09,8.77,1.199,8.83,1.02,0.52,0.84,.986,27.1
2015,AL East,80,82,4,3.96,3.74,162,0.01,0.07,0.37,8.97,8.11,3.96,3.73,1.08,2.94,8.36,1.232,8.39,1.08,0.59,0.73,.984,26.7
2013,AL East,92,71,2,3.96,3.74,163,0.06,0.10,0.26,8.98,8.07,3.96,3.73,0.94,2.96,8.04,1.227,8.05,0.94,0.36,0.90,.990,29.0
2010,AL East,96,66,1,4.01,3.78,162,0.04,0.07,0.31,8.97,8.31,4.01,3.77,1.08,2.95,7.34,1.255,7.36,1.08,0.52,0.83,.986,28.0
2008,AL East,97,65,1,4.14,3.82,162,0.04,0.07,0.32,9.0,8.33,4.14,3.81,1.02,3.25,7.06,1.286,7.06,1.02,0.56,0.94,.985,27.5
2017,AL East,80,82,3,4.35,3.97,162,0.00,0.06,0.33,8.92,8.17,4.35,3.94,1.19,3.10,8.35,1.264,8.42,1.20,0.62,0.80,.983,27.6
2016,AL East,68,94,5,4.40,4.20,162,0.01,0.05,0.26,8.80,8.61,4.40,4.10,1.30,3.03,8.38,1.322,8.56,1.33,0.58,0.80,.984,26.9
2009,AL East,84,78,3,4.65,4.33,162,0.02,0.03,0.25,8.81,8.77,4.65,4.23,1.13,3.18,6.94,1.356,7.09,1.15,0.60,0.83,.983,28.4
