Tm,G,GS,Wgs,Lgs,ND,Wchp,Ltuf,Wtm,Ltm,tmW-L%,Wlst,Lsv,CG,SHO,QS,QS%,GmScA,Best,Wrst,BQR,BQS,sDR,lDR,RS/GS,RS/IP,IP/GS,Pit/GS,<80,80-99,100-119,≥120,Max▼
St. Louis Cardinals,58,58,17,17,24,6,2,30,28,.517,1,9,2,0,18,31%,53,78,11,90,26,4,25,4.6,4.7,4.8,80,21,32,4,1,122
Washington Nationals,60,60,15,27,18,7,5,26,34,.433,6,6,2,0,16,27%,46,79,23,112,31,0,39,5.2,5.7,5.0,88,16,26,18,0,119
Chicago White Sox,60,60,18,15,27,7,4,35,25,.583,5,9,1,1,19,32%,52,99,21,99,30,2,29,5.3,5.3,4.8,83,23,24,13,0,119
Kansas City Royals,60,60,14,26,20,7,3,26,34,.433,0,12,1,1,11,18%,49,86,19,94,29,3,43,4.3,4.4,4.6,78,25,24,11,0,119
Cleveland Indians,60,60,23,17,20,4,7,35,25,.583,5,6,1,0,37,62%,58,89,14,55,16,1,32,4.2,4.1,5.8,92,7,31,22,0,118
Philadelphia Phillies,60,60,19,18,23,4,1,28,32,.467,8,2,3,2,20,33%,52,84,11,114,37,1,31,5.5,6.1,5.2,85,18,30,12,0,118
Los Angeles Angels,60,60,13,22,25,4,2,26,34,.433,7,9,1,0,15,25%,47,85,21,127,48,1,38,5.0,4.7,4.5,77,29,19,12,0,117
Minnesota Twins,60,60,22,12,26,12,2,36,24,.600,6,4,0,0,16,27%,54,86,14,79,23,5,47,4.8,5.4,4.7,77,26,30,4,0,115
Chicago Cubs,60,60,25,20,15,2,3,34,26,.567,4,6,2,2,30,50%,54,90,7,87,34,2,26,4.6,4.4,5.4,85,19,30,11,0,114
Texas Rangers,60,60,10,28,22,3,3,22,38,.367,6,7,2,1,17,28%,48,85,10,92,31,5,20,3.8,3.3,4.8,84,20,22,18,0,114
New York Yankees,60,60,18,17,25,6,2,33,27,.550,4,6,2,1,18,30%,52,83,20,79,29,0,39,5.7,6.3,4.9,81,27,22,11,0,114
Cincinnati Reds,60,60,18,22,20,3,4,31,29,.517,7,5,3,2,26,43%,56,83,1,90,28,1,32,4.3,4.2,5.2,89,14,26,20,0,113
Houston Astros,60,60,19,15,26,4,3,29,31,.483,6,11,0,0,25,42%,53,83,16,103,33,2,29,4.8,5.3,5.2,83,19,32,9,0,113
Oakland Athletics,60,60,22,19,19,10,1,36,24,.600,1,9,1,1,19,32%,50,79,4,65,22,1,27,4.8,4.9,5.1,81,25,28,7,0,113
New York Mets,60,60,13,22,25,6,5,26,34,.433,5,11,0,0,17,28%,48,81,14,95,33,1,30,5.0,4.6,4.6,80,26,22,12,0,113
San Francisco Giants,60,60,11,17,32,6,2,29,31,.483,8,11,1,0,11,18%,49,83,18,112,31,4,32,5.2,5.3,4.7,82,22,24,14,0,112
Pittsburgh Pirates,60,60,10,25,25,7,2,19,41,.317,8,6,1,0,9,15%,50,85,10,96,36,2,39,3.8,3.8,4.7,82,20,33,7,0,112
San Diego Padres,60,60,18,15,27,6,5,37,23,.617,8,8,1,1,22,37%,55,79,18,90,24,4,29,5.7,5.6,4.8,75,21,36,3,0,111
Colorado Rockies,60,60,14,23,23,1,5,26,34,.433,4,6,1,0,28,47%,48,82,8,92,37,1,26,4.7,4.2,5.3,86,13,38,9,0,109
Milwaukee Brewers,60,60,14,23,23,2,1,29,31,.483,3,12,1,0,15,25%,52,87,15,71,28,2,25,4.3,3.9,4.8,81,21,32,7,0,108
Tampa Bay Rays,60,60,15,9,36,11,2,40,20,.667,3,12,0,0,7,12%,52,76,27,91,17,8,37,5.0,4.9,4.3,71,35,19,6,0,108
Seattle Mariners,60,60,21,20,19,5,2,27,33,.450,4,6,1,0,25,42%,51,82,10,72,38,0,59,4.4,4.8,5.1,84,17,36,7,0,106
Detroit Tigers,58,58,9,22,27,4,2,23,35,.397,3,13,1,0,9,16%,44,68,13,87,26,0,38,4.5,4.1,4.1,73,33,24,1,0,105
Arizona Diamondbacks,60,60,10,25,25,4,1,25,35,.417,5,9,0,0,13,22%,49,80,11,93,30,1,29,4.6,4.3,4.9,84,13,44,3,0,104
Toronto Blue Jays,60,60,10,10,40,4,1,32,28,.533,5,20,0,0,11,18%,48,70,18,120,34,2,36,5.2,4.9,4.3,76,27,31,2,0,104
Atlanta Braves,60,60,14,16,30,5,0,35,25,.583,4,12,0,0,13,22%,46,81,9,94,31,3,29,6.0,5.9,4.2,73,35,23,2,0,104
Miami Marlins,60,60,15,19,26,8,3,31,29,.517,2,9,1,0,16,27%,50,74,12,108,36,1,29,4.7,4.9,4.6,77,27,28,5,0,101
Baltimore Orioles,60,60,12,22,26,7,4,25,35,.417,2,14,0,0,10,17%,48,74,6,133,43,4,34,4.7,4.6,4.5,76,29,31,0,0,99
Los Angeles Dodgers,60,60,17,6,37,5,2,43,17,.717,3,11,0,0,18,30%,54,76,19,96,28,5,48,6.0,5.7,4.6,73,31,29,0,0,99
Boston Red Sox,60,60,13,22,25,8,0,24,36,.400,5,3,0,0,9,15%,46,72,8,92,28,11,30,5.0,5.6,4.1,72,33,27,0,0,97
