Tm,G,GR,GF,Wgr,Lgr,SVOpp,SV,BSv,SV%,SVSit,Hold,IR,IS,IS%,1stIP,aLI,LevHi,LevMd,LevLo,Ahd,Tie,Bhd,Runr,Empt,>3o,<3o,IPmult,0DR,Out/GR,Pit/GR
Arizona Diamondbacks,60,200,60,15,10,22,13,9,59,44,21,93,30,32,,.942,54,49,97,74,24,102,62,138,49,59,55,31,3.4,19
Atlanta Braves,60,228,60,21,9,19,13,6,68,53,31,94,31,33,,.951,60,64,104,103,25,100,65,163,61,34,69,26,3.6,20
Baltimore Orioles,60,207,60,13,13,18,11,7,61,50,32,133,43,32,,.973,69,58,80,79,39,89,85,122,78,58,95,31,3.6,21
Boston Red Sox,60,232,60,11,14,27,14,13,52,69,40,92,28,30,,1.010,60,65,107,107,24,101,55,177,68,49,74,26,3.6,22
Chicago Cubs,60,188,58,9,6,21,16,5,76,47,26,87,34,39,,.980,50,47,91,85,24,79,54,134,35,48,46,27,3.1,18
Chicago White Sox,60,224,59,17,10,25,13,12,52,58,32,100,30,30,,.965,66,47,111,113,32,79,62,162,58,51,71,39,3.2,18
Cincinnati Reds,60,168,57,13,7,17,9,8,53,43,25,91,28,31,,.969,53,41,74,72,25,71,56,112,47,40,52,28,3.4,20
Cleveland Indians,60,181,59,12,8,28,20,8,71,63,35,55,16,29,,1.019,67,52,62,88,34,59,38,143,28,39,32,27,3.1,17
Colorado Rockies,60,189,59,12,11,24,16,8,67,44,20,92,37,40,,1.002,59,42,88,71,27,91,59,130,47,43,57,31,3.3,19
Detroit Tigers,58,218,57,14,13,19,11,8,58,46,27,87,26,30,,.899,58,47,113,83,23,112,55,163,56,45,61,29,3.5,20
Houston Astros,60,193,60,10,16,29,16,13,55,58,28,104,33,32,,1.116,75,45,73,89,36,68,75,118,51,60,63,26,3.3,20
Kansas City Royals,60,232,59,12,8,20,19,1,95,49,29,94,29,31,,.926,53,73,106,73,32,127,65,167,49,58,56,52,3.1,18
Los Angeles Angels,60,228,59,13,12,26,12,14,46,51,23,130,48,37,,1.011,74,61,93,76,35,117,92,136,64,72,79,51,3.4,19
Los Angeles Dodgers,60,249,60,26,11,25,15,10,60,79,52,96,28,29,,1.054,68,88,93,155,40,54,74,175,51,63,69,37,3.2,17
Miami Marlins,60,215,59,16,10,23,18,5,78,56,28,110,36,33,,1.016,54,70,91,106,20,89,71,144,49,68,58,40,3.2,18
Milwaukee Brewers,60,189,59,15,8,22,14,8,64,43,20,71,28,39,,.955,56,38,95,75,23,91,47,142,54,32,62,18,3.6,22
Minnesota Twins,60,202,60,14,12,27,17,10,63,82,53,79,23,29,,1.030,69,62,71,125,29,48,48,154,55,40,59,29,3.4,20
New York Mets,60,197,60,13,12,18,11,7,61,46,27,95,33,35,,.937,52,49,96,81,22,94,48,149,51,47,53,33,3.6,21
New York Yankees,60,175,58,15,10,24,14,10,58,42,16,79,29,37,,.939,50,45,80,83,31,61,54,121,54,39,59,26,3.5,21
Oakland Athletics,60,181,59,14,5,21,17,4,81,55,34,65,22,34,,.989,61,48,72,84,33,64,51,130,36,31,45,34,3.5,18
Philadelphia Phillies,60,189,57,9,14,25,11,14,44,53,27,115,37,32,,1.066,65,49,75,86,26,77,84,105,51,67,74,27,3.0,19
Pittsburgh Pirates,60,210,59,9,16,19,6,13,32,43,22,96,36,38,,1.006,64,55,91,69,38,103,64,146,53,50,60,26,3.3,20
San Diego Padres,60,218,59,19,8,24,13,11,54,67,42,90,24,27,,.945,61,53,104,118,26,74,63,155,54,53,72,27,3.2,18
Seattle Mariners,60,189,59,6,13,23,15,8,65,54,31,72,38,53,,.955,54,47,88,83,28,78,41,148,42,31,44,12,3.4,20
San Francisco Giants,60,236,59,18,14,24,13,11,54,70,43,112,31,28,,.968,70,62,104,113,25,98,75,161,42,75,51,51,3.0,17
St. Louis Cardinals,58,177,56,13,11,18,13,5,72,43,22,91,26,29,,.956,45,40,92,85,20,72,62,115,53,42,68,25,3.3,19
Tampa Bay Rays,60,219,60,25,11,31,23,8,74,73,41,91,17,19,,1.051,84,66,69,118,51,50,69,150,63,46,78,37,3.7,20
Texas Rangers,60,204,58,12,10,19,10,9,53,36,16,93,31,33,,.901,37,49,118,64,18,122,50,154,45,41,49,30,3.4,20
Toronto Blue Jays,60,226,60,22,18,29,17,12,59,67,35,121,34,28,,1.118,87,59,80,108,47,71,76,150,72,55,87,26,3.6,22
Washington Nationals,60,202,58,11,7,22,12,10,55,64,41,112,31,28,,.986,58,47,97,92,10,100,64,138,40,63,48,47,3.1,18
