Tm,Stadium,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers
Toronto Blue Jays,Sahlen Field,,,25.9,29.5,100,99,0,0,13,$76078572,3:15,29,6,20%,Montoyo
Baltimore Orioles,Oriole Park at Camden Yards,,,26.3,28.3,103,105,0,0,9,$52190000,3:04,24,8,33%,Hyde
San Diego Padres,Petco Park,,,26.7,27.8,93,93,0,0,16,$141953667,3:04,20,9,45%,Tingler
Seattle Mariners,T-Mobile Park,,,26.7,26.6,95,96,0,0,7,$92310000,2:59,12,5,41%,Servais
Boston Red Sox,Fenway Park,,,27.1,29.1,108,108,0,0,11,$171984429,3:20,21,16,76%,Roenicke
Tampa Bay Rays,Tropicana Field,,,27.1,28.1,94,92,0,0,10,$56351667,3:10,24,8,33%,Cash
Pittsburgh Pirates,PNC Park,,,27.1,27.7,98,100,0,0,6,$49628500,3:05,10,2,20%,Shelton
Texas Rangers,Globe Life Field,,,27.5,28.7,99,101,0,0,11,$122326667,3:04,21,11,52%,Woodward
Detroit Tigers,Comerica Park,,,27.6,26.6,100,102,0,0,12,$88385000,2:59,18,12,66%,Gardenhire and McClendon
New York Mets,Citi Field,,,27.7,29.2,95,95,0,0,18,$162078667,3:11,18,8,44%,Rojas
Chicago White Sox,Guaranteed Rate Field,,,27.7,27.6,100,100,0,0,14,$119066333,3:10,15,11,73%,Renteria
Kansas City Royals,Kauffman Stadium,,,27.8,27.1,104,105,0,0,10,$68600000,3:05,7,5,71%,Matheny
Chicago Cubs,Wrigley Field,,,27.9,30.3,100,100,0,0,14,$181560000,3:06,17,10,58%,Ross
Cleveland Indians,Progressive Field,,,28.0,27.6,101,100,0,0,6,$101991668,3:06,26,10,38%,Francona
Los Angeles Dodgers,Dodger Stadium,,,28.0,27.6,99,97,0,0,17,$216508333,3:09,19,11,57%,Roberts
Oakland Athletics,Oakland-Alameda County Coliseum,,,28.1,29.9,96,94,0,0,12,$85683333,2:57,23,7,30%,Melvin
Atlanta Braves,Truist Park,,,28.2,28.5,106,104,0,0,20,$130705000,3:13,14,4,28%,Snitker
New York Yankees,Yankee Stadium III,,,28.5,29.2,97,96,0,0,11,$218635714,3:06,12,5,41%,Boone
Philadelphia Phillies,Citizens Bank Park,,,28.5,29.1,100,100,0,0,10,$170148461,3:08,29,17,58%,Girardi
Milwaukee Brewers,Miller Park,,,28.5,28.0,102,101,0,0,16,$103541667,3:02,10,4,40%,Counsell
Los Angeles Angels,Angel Stadium of Anaheim,,,28.5,27.4,101,102,0,0,9,$181254762,3:14,23,13,56%,Maddon
Washington Nationals,Nationals Park,,,28.6,30.8,99,99,0,0,15,$172237283,3:10,19,14,73%,Martinez
Colorado Rockies,Coors Field,,,28.7,27.3,114,115,0,0,13,$144730000,3:10,17,7,41%,Black
Minnesota Twins,Target Field,,,28.8,30.0,98,97,0,0,14,$134838333,3:06,30,11,36%,Baldelli
St. Louis Cardinals,Busch Stadium III,,,28.9,27.6,94,93,0,0,11,$153396167,2:52,12,8,66%,Shildt
Miami Marlins,Marlins Park,,,29.0,27.5,100,101,0,0,11,$68450000,3:05,26,11,42%,Mattingly
Arizona Diamondbacks,Chase Field,,,29.1,27.7,99,100,0,0,9,$88176667,3:08,24,10,41%,Lovullo
Cincinnati Reds,Great American Ball Park,,,29.2,28.6,109,109,0,0,10,$120781165,2:58,23,11,47%,Bell
Houston Astros,Minute Maid Park,,,29.2,27.0,102,100,0,0,15,$217000000,3:08,13,4,30%,Baker
San Francisco Giants,Oracle Park,,,29.8,29.0,95,95,0,0,13,$152957778,3:08,35,11,31%,Kapler
